strike,ivol
0.75,0.9867
1,0.7281
1.1,0.7294
1.2,0.7013
1.25,0.68
1.3,0.6597
1.35,0.6301
1.4,0.5988
1.45,0.5698
1.5,0.5446
1.55,0.5212
1.6,0.4999
1.65,0.4818
1.7,0.4666
1.75,0.4543
1.8,0.4427
1.85,0.4337
1.9,0.425
1.95,0.418
2,0.4122
2.05,0.4067
2.1,0.4011
2.15,0.3958
2.2,0.3906
2.25,0.3862
2.3,0.3823
2.35,0.3801
2.4,0.3788
2.43,0.3788
2.45,0.3789
2.5,0.3789
2.55,0.3788
2.58,0.38
2.6,0.3803
2.65,0.3839
2.7,0.387
2.75,0.3919
2.8,0.3979
2.81,0.3986
2.83,0.4013
2.85,0.4033
2.86,0.4052
2.87,0.407
2.89,0.4102
2.9,0.4116
2.95,0.4198
2.97,0.4242
2.98,0.4246
3,0.4285
3.01,0.4322
3.05,0.4389
3.07,0.446
3.08,0.4452
3.1,0.4521
3.12,0.4544
3.15,0.4596
3.18,0.4694
3.2,0.4706
3.25,0.4805
3.3,0.4894
3.35,0.497
3.4,0.5032
3.45,0.5076
3.5,0.5098
3.55,0.523
3.6,0.5215
3.65,0.5339
3.7,0.5267
3.75,0.5384
3.8,0.5499
3.85,0.5612
4,0.5617
4.2,0.6015
4.25,0.6111
4.3,0.6206
4.35,0.63
4.4,0.6392
4.45,0.6483
4.5,0.6573
4.6,0.6749
4.65,0.6836
4.7,0.6921
4.75,0.7006
5,0.7413
5.15,0.7647
5.25,0.7798
5.5,0.8163
5.55,0.8234
5.6,0.8304
6,0.8839
6.5,0.9455
7,1.0021
7.25,1.0282
7.45,1.0491
7.5,1.0543
7.65,1.0699
7.7,1.0752
7.85,1.0908
7.9,1.096
8.05,1.1117
8.1,1.1169
8.25,1.1326
8.3,1.1378
8.4,1.1483
8.45,1.1535
8.5,1.1587
8.6,1.1691
8.65,1.1744
8.7,1.1796
8.75,1.1848
8.8,1.19
8.85,1.1952
8.9,1.2005
8.95,1.2057
9,1.2109
9.05,1.2161
9.1,1.2213
9.15,1.2266
9.2,1.2318
9.25,1.237
9.3,1.2422
9.35,1.2475
9.4,1.2527
9.45,1.2579
9.5,1.2631
9.55,1.2683
9.6,1.2736
9.65,1.2788
9.7,1.284
9.75,1.2892
9.8,1.2944
9.85,1.2997
10,1.3153
