"strike","ivol"
1,0.5804
1.5,0.4865
1.6,0.4686
1.65,0.4602
1.7,0.4519
1.75,0.445
1.8,0.4385
1.85,0.4327
1.9,0.4277
1.95,0.4233
2,0.4202
2.05,0.418
2.1,0.4165
2.15,0.4156
2.2,0.4155
2.25,0.4153
2.3,0.4152
2.35,0.4158
2.4,0.4167
2.45,0.4178
2.5,0.4196
2.55,0.4218
2.58,0.4229
2.6,0.4237
2.65,0.4259
2.7,0.4282
2.75,0.4308
2.8,0.4332
2.81,0.4337
2.85,0.4359
2.86,0.4364
2.87,0.4369
2.89,0.4381
2.9,0.4387
2.95,0.4416
2.97,0.4425
2.98,0.4433
3,0.4443
3.01,0.445
3.05,0.4475
3.07,0.4485
3.08,0.4491
3.1,0.4503
3.15,0.4535
3.2,0.4568
3.25,0.4599
3.3,0.4633
3.35,0.467
3.4,0.4706
3.45,0.4739
3.5,0.4779
3.55,0.4818
3.6,0.4859
3.65,0.4895
3.7,0.4934
3.75,0.4972
3.8,0.5014
3.85,0.5049
3.9,0.5091
3.95,0.5128
4,0.5165
4.05,0.5206
4.1,0.5249
4.2,0.5322
4.25,0.5361
4.3,0.5406
4.35,0.5437
4.5,0.5563
4.6,0.564
4.65,0.5673
4.75,0.5761
4.95,0.5926
5,0.5957
5.15,0.6076
5.25,0.6161
5.35,0.624
5.5,0.6347
5.55,0.638
6,0.663
6.3,0.6775
6.5,0.6873
7,0.7026
7.5,0.718
9,0.7627
9.25,0.7702
9.5,0.7777
9.75,0.7851
10,0.7926
